,accuracy,val_accuracy,loss,val_loss
0,0.14944728,0.23462301,2.6825745527436133,2.4968363822452604
1,0.23193027,0.31746033,2.4530070363258827,2.2633099745190335
2,0.29294217,0.35515872,2.3191995555851737,2.155081968458872
3,0.32270408,0.40575397,2.2161126801756774,2.020133858635312
4,0.36245748,0.44642857,2.0958442615003,1.8989452123641968
5,0.4090136,0.4747024,1.980512422769248,1.8205974291241358
6,0.4362245,0.48313493,1.8966355607623147,1.756788108083937
7,0.4506803,0.4940476,1.8330260669293046,1.725742152759007
8,0.4802296,0.5262897,1.747477677403664,1.6362426867560735
9,0.48915815,0.547123,1.6922091780876627,1.5334667364756267
10,0.5027636,0.5416667,1.6535359637266924,1.5412879614602952
11,0.50999147,0.56349206,1.60953988591019,1.4621716434993441
12,0.5408163,0.5729167,1.5462679948125566,1.4436481036837139
13,0.54613096,0.57589287,1.503886347725278,1.4319029213890198
14,0.5639881,0.60218257,1.474556186572224,1.35452454714548
15,0.5601616,0.6076389,1.432601280358373,1.3147617332519046
16,0.5735544,0.6160714,1.3908179219888182,1.2936509620575678
17,0.5922619,0.63095236,1.3681658733458746,1.255019241855258
18,0.5954507,0.6046627,1.3391983342819473,1.306573407990592
19,0.6154337,0.6230159,1.2775462825282091,1.276405239862109
